id,name,shortname,unit_id,unit
239,Convective snowfall,csf,27,
240,Large-scale snowfall,lsf,27,
241,Accumulated cloud fraction tendency,acf,34,
242,Accumulated liquid water tendency,alw,34,
243,Forecast albedo,fal,3,
244,Forecast surface roughness,fsr,4,
245,Forecast logarithm of surface roughness for heat,flsr,106,
246,Specific cloud liquid water content,clwc,21,
247,Specific cloud ice water content,ciwc,21,
248,Fraction of cloud cover,cc,3,
249,Accumulated ice water tendency,aiw,34,
250,Ice age,ice,3,
251,Adiabatic tendency of temperature,atte,2,
252,Adiabatic tendency of humidity,athe,21,
253,Adiabatic tendency of zonal wind,atze,5,
254,Adiabatic tendency of meridional wind,atmw,5,
255,Indicates a missing value,~,7,
3003,Pressure tendency,ptend,26,
3005,ICAO Standard Atmosphere reference height,icaht,4,
3008,Geometrical height above ground,h,4,
3009,Standard deviation of height,hstdv,4,
3012,Virtual potential temperature,vptmp,2,
3014,Pseudo-adiabatic potential temperature,papt,2,
3015,Maximum temperature,tmax,2,
3016,Minimum temperature,tmin,2,
3017,Dew point temperature,dpt,2,
3018,Dew point depression (or deficit),depr,2,
3019,Lapse rate,lapr,190,
3020,Visibility,vis,4,
3021,Radar spectra (1),rdsp1,7,
3022,Radar spectra (2),rdsp2,7,
3023,Radar spectra (3),rdsp3,7,
3024,Parcel lifted index (to 500 hPa),pli,2,
3025,Temperature anomaly,ta,2,
3026,Pressure anomaly,presa,16,
3027,Geopotential height anomaly,gpa,28,
3028,Wave spectra (1),wvsp1,7,
3029,Wave spectra (2),wvsp2,7,
3030,Wave spectra (3),wvsp3,7,
3031,Wind direction,wdir,92,
3037,Montgomery stream Function,mntsf,15,
3038,Sigma coordinate vertical velocity,sgcvv,8,
3041,Absolute vorticity,absv,8,
3042,Absolute divergence,absd,8,
3045,Vertical u-component shear,vucsh,8,
3046,Vertical v-component shear,vvcsh,8,
3047,Direction of current,dirc,92,
3048,Speed of current,spc,5,
3053,Humidity mixing ratio,mixr,21,
3054,Precipitable water,pwat,22,
3055,Vapour pressure,vp,16,
3056,Saturation deficit,satd,16,
3059,Precipitation rate,prate,33,
3060,Thunderstorm probability,tstm,29,
3062,Large-scale precipitation,lsp,22,
3063,Convective precipitation (water),acpcp,22,
3064,Snow fall rate water equivalent,srweq,33,
3066,Snow depth,sde,4,
3067,Mixed layer depth,mld,4,
